Date,CSource,State,Month,State_Code,State_Abbr,CSrc_Simplified,CSrc_Freq
10-Jan-18,google_display_network,pennsylvania ,January,42,PA,google,34708
10-Feb-18,google_display_network,new york ,February,36,NY,google,34708
23-Mar-18,bing,oregon ,March,41,OR,bing,3143
11-Feb-18,31,california ,February,6,CA,other,13363
3-Jan-18,google_display_network,georgia ,January,13,GA,google,34708
24-Jan-18,unknown,texas ,January,48,TX,unknown,10982
13-Jan-18,google_display_network,pennsylvania ,January,42,PA,google,34708
11-Jan-18,google_display_network,georgia ,January,13,GA,google,34708
24-Feb-18,google_display_network,illinois ,February,17,IL,google,34708
28-Jan-18,google_display_network,nevada ,January,32,NV,google,34708
21-Mar-18,27,minnesota ,March,27,MN,other,13363
17-Jan-18,google_display_network,ohio ,January,39,OH,google,34708
3-Feb-18,unknown,utah ,February,49,UT,unknown,10982
22-Feb-18,criteo,alabama ,February,1,AL,criteo,1599
4-Jan-18,email,florida ,January,12,FL,email,4952
15-Mar-18,31,pennsylvania ,March,42,PA,other,13363
5-Mar-18,1,new jersey ,March,34,NJ,other,13363
30-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
10-Mar-18,email,georgia ,March,13,GA,email,4952
24-Mar-18,31,florida ,March,12,FL,other,13363
18-Feb-18,unknown,idaho ,February,16,ID,unknown,10982
15-Feb-18,google,ohio ,February,39,OH,google,34708
17-Mar-18,yahoosearchrtg,maine ,March,23,ME,yahoo,875
5-Mar-18,google_display_network,pennsylvania ,March,42,PA,google,34708
7-Feb-18,1,california ,February,6,CA,other,13363
12-Mar-18,google,missouri ,March,29,MO,google,34708
23-Mar-18,bing,arizona ,March,4,AZ,bing,3143
6-Feb-18,unknown,massachusetts ,February,25,MA,unknown,10982
4-Feb-18,applenews,georgia ,February,13,GA,apple,74
26-Jan-18,email,texas ,January,48,TX,email,4952
11-Jan-18,google_display_network,pennsylvania ,January,42,PA,google,34708
25-Jan-18,www.google.com,florida ,January,12,FL,google,34708
13-Feb-18,facebook,colorado ,February,8,CO,facebook,1796
2-Mar-18,auth.tree.com,oklahoma ,March,39,OK,Lending Tree/Partners,332
26-Feb-18,google,california ,February,6,CA,google,34708
29-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
17-Jan-18,unknown,washington ,January,53,WA,unknown,10982
21-Mar-18,www.google.com,oregon ,March,41,OR,google,34708
13-Mar-18,31,pennsylvania ,March,42,PA,other,13363
25-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
12-Mar-18,1,nevada ,March,32,NV,other,13363
4-Mar-18,aol,north carolina ,March,37,NC,aol,3440
23-Mar-18,unknown,illinois ,March,17,IL,unknown,10982
26-Jan-18,google_display_network,new jersey ,January,34,NJ,google,34708
28-Jan-18,google_display_network,kentucky ,January,21,KY,google,34708
5-Jan-18,google_display_network,florida ,January,12,FL,google,34708
27-Mar-18,1,connecticut ,March,9,CT,other,13363
22-Jan-18,google,louisiana ,January,22,LA,google,34708
28-Jan-18,google,maryland ,January,24,MD,google,34708
5-Jan-18,com.google.android.gm,new york ,January,36,NY,google,34708
21-Jan-18,google_display_network,georgia ,January,13,GA,google,34708
19-Jan-18,MSN,minnesota ,January,27,MN,microsoft,1213
3-Feb-18,bing,texas ,February,48,TX,bing,3143
26-Feb-18,unknown,north carolina ,February,37,NC,unknown,10982
13-Jan-18,google_display_network,texas ,January,48,TX,google,34708
30-Jan-18,nafdigital_com,florida ,January,12,FL,nafdigital,509
9-Mar-18,taboola,north carolina ,March,37,NC,other,13363
20-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
7-Mar-18,google_display_network,louisiana ,March,22,LA,google,34708
7-Feb-18,google_display_network,florida ,February,12,FL,google,34708
20-Feb-18,google_display_network,illinois ,February,17,IL,google,34708
31-Jan-18,31,illinois ,January,17,IL,other,13363
27-Jan-18,google,florida ,January,12,FL,google,34708
29-Jan-18,google,california ,January,6,CA,google,34708
14-Feb-18,31,florida ,February,12,FL,other,13363
9-Feb-18,google_display_network,georgia ,February,13,GA,google,34708
29-Jan-18,google_display_network,new jersey ,January,34,NJ,google,34708
3-Mar-18,source,hawaii ,March,15,HI,other,13363
16-Mar-18,google,indiana ,March,18,IN,google,34708
16-Feb-18,aol,texas ,February,48,TX,aol,3440
7-Feb-18,google_display_network,california ,February,6,CA,google,34708
28-Jan-18,google_display_network,alabama ,January,1,AL,google,34708
5-Feb-18,google_display_network,michigan ,February,26,MI,google,34708
20-Jan-18,unknown,virginia ,January,51,VA,unknown,10982
22-Jan-18,google,pennsylvania ,January,42,PA,google,34708
20-Feb-18,unknown,new jersey ,February,34,NJ,unknown,10982
3-Mar-18,google,south carolina ,March,45,SC,google,34708
11-Jan-18,aol,new york ,January,36,NY,aol,3440
16-Feb-18,www.google.com,georgia ,February,13,GA,google,34708
3-Feb-18,google,ohio ,February,39,OH,google,34708
15-Jan-18,unknown,oregon ,January,41,OR,unknown,10982
7-Feb-18,email,illinois ,February,17,IL,email,4952
6-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
28-Mar-18,google_display_network,florida ,March,12,FL,google,34708
20-Mar-18,bing,california ,March,6,CA,bing,3143
19-Mar-18,aol,new jersey ,March,34,NJ,aol,3440
6-Feb-18,email,west virginia ,February,54,WV,email,4952
2-Jan-18,google_display_network,arizona ,January,4,AZ,google,34708
18-Jan-18,google_display_network,new york ,January,36,NY,google,34708
17-Jan-18,google_display_network,tennessee ,January,47,TN,google,34708
16-Mar-18,google,california ,March,6,CA,google,34708
26-Mar-18,criteo,texas ,March,48,TX,criteo,1599
22-Jan-18,unknown,oklahoma ,January,39,OK,unknown,10982
17-Mar-18,Realtor_com,california ,March,6,CA,realtor.com,817
30-Jan-18,google_display_network,nevada ,January,32,NV,google,34708
17-Feb-18,google_display_network,arizona ,February,4,AZ,google,34708
2-Feb-18,27,new york ,February,36,NY,other,13363
22-Jan-18,google_display_network,connecticut ,January,9,CT,google,34708
12-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
27-Feb-18,Pandora,massachusetts ,February,25,MA,pandora,169
11-Jan-18,google_display_network,florida ,January,12,FL,google,34708
8-Jan-18,bing,florida ,January,12,FL,bing,3143
11-Feb-18,google_display_network,alabama ,February,1,AL,google,34708
10-Mar-18,criteo,illinois ,March,17,IL,criteo,1599
18-Mar-18,31,colorado ,March,8,CO,other,13363
26-Jan-18,google_display_network,nebraska ,January,31,NE,google,34708
19-Feb-18,31,massachusetts ,February,25,MA,other,13363
30-Mar-18,www.google.com,california ,March,6,CA,google,34708
11-Feb-18,google_display_network,connecticut ,February,9,CT,google,34708
12-Jan-18,l.facebook.com,mississippi ,January,28,MS,facebook,1796
5-Mar-18,criteo,california ,March,6,CA,criteo,1599
7-Jan-18,google_display_network,texas ,January,48,TX,google,34708
19-Mar-18,1,new mexico ,March,35,NM,other,13363
28-Feb-18,bing,georgia ,February,13,GA,bing,3143
19-Jan-18,unknown,california ,January,6,CA,unknown,10982
15-Feb-18,google,new jersey ,February,34,NJ,google,34708
20-Feb-18,google_display_network,california ,February,6,CA,google,34708
28-Mar-18,google_display_network,florida ,March,12,FL,google,34708
17-Mar-18,google_display_network,california ,March,6,CA,google,34708
21-Jan-18,facebook,texas ,January,48,TX,facebook,1796
3-Mar-18,31,utah ,March,49,UT,other,13363
21-Feb-18,Pandora,north carolina ,February,37,NC,pandora,169
18-Jan-18,email,nevada ,January,32,NV,email,4952
11-Feb-18,google,texas ,February,48,TX,google,34708
18-Jan-18,unknown,california ,January,6,CA,unknown,10982
23-Jan-18,google,georgia ,January,13,GA,google,34708
11-Feb-18,google_display_network,utah ,February,49,UT,google,34708
6-Feb-18,unknown,florida ,February,12,FL,unknown,10982
3-Feb-18,www.google.com,north carolina ,February,37,NC,google,34708
25-Mar-18,google_display_network,delaware ,March,10,DE,google,34708
14-Jan-18,unknown,michigan ,January,26,MI,unknown,10982
2-Jan-18,google,new jersey ,January,34,NJ,google,34708
21-Jan-18,google,illinois ,January,17,IL,google,34708
15-Feb-18,aol,california ,February,6,CA,aol,3440
15-Mar-18,bing,wisconsin ,March,55,WI,bing,3143
24-Mar-18,google_display_network,illinois ,March,17,IL,google,34708
5-Feb-18,email,pennsylvania ,February,42,PA,email,4952
14-Mar-18,aol,massachusetts ,March,25,MA,aol,3440
21-Mar-18,MSN,ohio ,March,39,OH,microsoft,1213
27-Feb-18,aol,north carolina ,February,37,NC,aol,3440
13-Mar-18,criteo,wisconsin ,March,55,WI,criteo,1599
6-Jan-18,google_display_network,pennsylvania ,January,42,PA,google,34708
30-Jan-18,31,new york ,January,36,NY,other,13363
24-Feb-18,google_display_network,maryland ,February,24,MD,google,34708
12-Jan-18,google,illinois ,January,17,IL,google,34708
10-Jan-18,google_display_network,texas ,January,48,TX,google,34708
13-Jan-18,google_display_network,massachusetts ,January,25,MA,google,34708
14-Mar-18,1,michigan ,March,26,MI,other,13363
2-Feb-18,Realtor_com,new york ,February,36,NY,realtor.com,817
11-Jan-18,google_display_network,texas ,January,48,TX,google,34708
30-Jan-18,google,ohio ,January,39,OH,google,34708
11-Jan-18,nafdigital_com,nebraska ,January,31,NE,nafdigital,509
18-Mar-18,unknown,nebraska ,March,31,NE,unknown,10982
18-Feb-18,1,maryland ,February,24,MD,other,13363
17-Feb-18,www.google.com,maryland ,February,24,MD,google,34708
16-Jan-18,31,texas ,January,48,TX,other,13363
5-Jan-18,31,georgia ,January,13,GA,other,13363
29-Jan-18,google_display_network,georgia ,January,13,GA,google,34708
24-Mar-18,google_display_network,pennsylvania ,March,42,PA,google,34708
12-Jan-18,nafdigital_com,california ,January,6,CA,nafdigital,509
24-Mar-18,google_display_network,california ,March,6,CA,google,34708
24-Feb-18,taboola,connecticut ,February,9,CT,other,13363
2-Mar-18,google_display_network,texas ,March,48,TX,google,34708
27-Jan-18,creditcards.lendingtree.com,georgia ,January,13,GA,Lending Tree/Partners,332
22-Mar-18,1,west virginia ,March,54,WV,other,13363
25-Mar-18,Realtor_com,massachusetts ,March,25,MA,realtor.com,817
1-Jan-18,aol,missouri ,January,29,MO,aol,3440
3-Mar-18,unknown,virginia ,March,51,VA,unknown,10982
5-Mar-18,google_display_network,north carolina ,March,37,NC,google,34708
25-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
28-Feb-18,unknown,california ,February,6,CA,unknown,10982
4-Jan-18,email,texas ,January,48,TX,email,4952
15-Jan-18,google_display_network,illinois ,January,17,IL,google,34708
23-Mar-18,google_display_network,washington ,March,53,WA,google,34708
24-Feb-18,unknown,georgia ,February,13,GA,unknown,10982
19-Mar-18,google_display_network,texas ,March,48,TX,google,34708
22-Mar-18,1,maryland ,March,24,MD,other,13363
2-Feb-18,bing,florida ,February,12,FL,bing,3143
18-Mar-18,google_display_network,south carolina ,March,45,SC,google,34708
16-Jan-18,unknown,massachusetts ,January,25,MA,unknown,10982
7-Mar-18,www.google.com,illinois ,March,17,IL,google,34708
10-Mar-18,google,california ,March,6,CA,google,34708
22-Jan-18,27,kansas ,January,20,KS,other,13363
15-Mar-18,1,arkansas ,March,5,AR,other,13363
14-Feb-18,bing,oklahoma ,February,39,OK,bing,3143
31-Mar-18,1,new york ,March,36,NY,other,13363
5-Feb-18,unknown,kentucky ,February,21,KY,unknown,10982
4-Jan-18,27,washington ,January,53,WA,other,13363
11-Mar-18,unknown,massachusetts ,March,25,MA,unknown,10982
25-Mar-18,28,california ,March,6,CA,other,13363
11-Jan-18,31,new york ,January,36,NY,other,13363
10-Feb-18,google,texas ,February,48,TX,google,34708
29-Mar-18,email,arkansas ,March,5,AR,email,4952
14-Mar-18,google_display_network,missouri ,March,29,MO,google,34708
10-Jan-18,google_display_network,louisiana ,January,22,LA,google,34708
3-Jan-18,bing,ohio ,January,39,OH,bing,3143
22-Jan-18,1,massachusetts ,January,25,MA,other,13363
22-Mar-18,bing,new york ,March,36,NY,bing,3143
5-Jan-18,31,new york ,January,36,NY,other,13363
29-Mar-18,bing,california ,March,6,CA,bing,3143
4-Jan-18,google,michigan ,January,26,MI,google,34708
11-Mar-18,google_display_network,arizona ,March,4,AZ,google,34708
18-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
22-Feb-18,source,pennsylvania ,February,42,PA,other,13363
18-Jan-18,google_display_network,new jersey ,January,34,NJ,google,34708
23-Mar-18,email,new jersey ,March,34,NJ,email,4952
9-Jan-18,aol,tennessee ,January,47,TN,aol,3440
24-Jan-18,google,florida ,January,12,FL,google,34708
24-Feb-18,bing,new york ,February,36,NY,bing,3143
26-Jan-18,27,nevada ,January,32,NV,other,13363
17-Jan-18,www.google.com,washington ,January,53,WA,google,34708
16-Feb-18,Pandora,north carolina ,February,37,NC,pandora,169
14-Mar-18,unknown,nevada ,March,32,NV,unknown,10982
18-Feb-18,30,virginia ,February,51,VA,other,13363
10-Mar-18,aol,california ,March,6,CA,aol,3440
11-Jan-18,unknown,indiana ,January,18,IN,unknown,10982
13-Feb-18,google_display_network,california ,February,6,CA,google,34708
26-Feb-18,MSN,north carolina ,February,37,NC,microsoft,1213
13-Mar-18,www.google.com,north carolina ,March,37,NC,google,34708
20-Mar-18,google_display_network,new york ,March,36,NY,google,34708
8-Jan-18,google,georgia ,January,13,GA,google,34708
6-Feb-18,Realtor_com,ohio ,February,39,OH,realtor.com,817
13-Feb-18,email,pennsylvania ,February,42,PA,email,4952
16-Mar-18,facebook,florida ,March,12,FL,facebook,1796
29-Jan-18,google_display_network,pennsylvania ,January,42,PA,google,34708
20-Mar-18,google,florida ,March,12,FL,google,34708
12-Jan-18,31,pennsylvania ,January,42,PA,other,13363
6-Mar-18,google_display_network,california ,March,6,CA,google,34708
1-Mar-18,aol,california ,March,6,CA,aol,3440
2-Mar-18,google,arizona ,March,4,AZ,google,34708
15-Feb-18,aol,maryland ,February,24,MD,aol,3440
21-Mar-18,unknown,south carolina ,March,45,SC,unknown,10982
3-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
20-Feb-18,bing,texas ,February,48,TX,bing,3143
16-Feb-18,google,maryland ,February,24,MD,google,34708
17-Mar-18,google_display_network,nevada ,March,32,NV,google,34708
17-Jan-18,email,georgia ,January,13,GA,email,4952
17-Mar-18,facebook,virginia ,March,51,VA,facebook,1796
4-Jan-18,google_display_network,massachusetts ,January,25,MA,google,34708
20-Feb-18,MSN,louisiana ,February,22,LA,microsoft,1213
29-Mar-18,google_display_network,maryland ,March,24,MD,google,34708
5-Feb-18,aol,illinois ,February,17,IL,aol,3440
13-Mar-18,google,texas ,March,48,TX,google,34708
19-Feb-18,27,georgia ,February,13,GA,other,13363
27-Feb-18,google_display_network,pennsylvania ,February,42,PA,google,34708
6-Feb-18,27,california ,February,6,CA,other,13363
4-Mar-18,facebook,ohio ,March,39,OH,facebook,1796
12-Mar-18,newsmax,oregon ,March,41,OR,other,13363
7-Feb-18,unknown,virginia ,February,51,VA,unknown,10982
18-Jan-18,com.google.android.gm,pennsylvania ,January,42,PA,google,34708
30-Mar-18,email,california ,March,6,CA,email,4952
30-Mar-18,bing,georgia ,March,13,GA,bing,3143
19-Jan-18,nasdaq,iowa ,January,19,IA,nasdaq,143
6-Jan-18,unknown,virginia ,January,51,VA,unknown,10982
12-Jan-18,aol,california ,January,6,CA,aol,3440
2-Jan-18,google,utah ,January,49,UT,google,34708
19-Feb-18,taboola,texas ,February,48,TX,other,13363
22-Jan-18,google_display_network,new york ,January,36,NY,google,34708
9-Jan-18,31,new mexico ,January,35,NM,other,13363
2-Mar-18,google_display_network,georgia ,March,13,GA,google,34708
22-Feb-18,google_display_network,texas ,February,48,TX,google,34708
6-Jan-18,31,texas ,January,48,TX,other,13363
1-Feb-18,www.google.com,california ,February,6,CA,google,34708
